param_criterion,param_max_depth,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
gini,34,300,0.5949669921500953,0.6497848567031745,0.5920922207183996,0.621817873972072,0.5905405125327643,0.6098404912153012,0.02301182865028872,52
gini,50,1,0.3175877101767902,0.34176524391543184,0.3319492913444448,0.33661267170704035,0.3135241053604967,0.3282878045008408,0.010925292709405007,196
gini,50,34,0.5449364039701555,0.602842739725212,0.5560612037405344,0.5869739931209123,0.5627559012842251,0.5707140483682078,0.021162058137525808,160
gini,50,67,0.5648251157672581,0.6202914399738656,0.5794651549671669,0.5897964353155067,0.5864556504858135,0.5881667593019222,0.018210596291511755,143
gini,50,100,0.5822088152490155,0.635651307272944,0.585512625194243,0.6151741765150809,0.5754189980818579,0.5987931844626283,0.022911242931715203,121
gini,50,133,0.5799144302914777,0.6414730223844101,0.5783047011428881,0.6178178814768762,0.5949561642212967,0.6024932399033898,0.024107939116898184,110
gini,50,167,0.5954666481826559,0.6380933243799236,0.5861022876499281,0.6218689198905206,0.5872743633072052,0.6057611086820467,0.020683513578512166,87
gini,50,200,0.5875332169436758,0.6451420811756166,0.5896537747764106,0.6138770830426186,0.6018467874129511,0.6076105886702544,0.021007861895004833,73
gini,50,233,0.596745260564959,0.6410440447677856,0.591398579780982,0.6201268182566708,0.604628358568745,0.6107886123878286,0.01796513901631733,39
gini,50,266,0.5903825003607615,0.6487093845882349,0.5932277381916824,0.6187637442217916,0.5925626022425714,0.6087291939210083,0.022527151734499873,65
gini,50,300,0.5914047370296456,0.6442274202039546,0.5938271730810614,0.6224292045568122,0.5998086511339115,0.6103394372010771,0.02018233415075021,47
gini,67,1,0.3198223199881647,0.3097356317303308,0.32111326442721794,0.30398808305224645,0.3101528974252986,0.3129624393246517,0.006516729179723678,198
gini,67,34,0.5595439762032741,0.593726766505487,0.5669290941664784,0.5962758448877925,0.5503397443964564,0.5733630852318978,0.018450540960421244,158
gini,67,67,0.5909439712582379,0.6256537216826973,0.5717694711311664,0.6223537075125958,0.5839862065607968,0.5989414156290989,0.021389785732818963,120
gini,67,100,0.5872516808540678,0.633808492763342,0.5825761810878313,0.5978759096283345,0.5972245965555818,0.5997473721778315,0.018005659163513887,118
gini,67,133,0.5896363176498103,0.635873992768617,0.5807200023312226,0.6199616282142963,0.5934650094228486,0.6039313900773589,0.020639579173199963,101
gini,67,167,0.5958021862667412,0.6344694690101791,0.5815352200739689,0.6136263769441257,0.5961077860961976,0.6043082076782426,0.01819196659188671,98
gini,67,200,0.5925228340268078,0.6382901003149841,0.5885483110142989,0.6141656298256016,0.5868100695883967,0.6040673889540178,0.01972360028924749,100
gini,67,233,0.5913810958218955,0.6364527305355959,0.5852892246963409,0.6184571555853018,0.5913237632315685,0.6045807939741406,0.01964952565514582,95
gini,67,266,0.5928940580655494,0.64498838428017,0.5881337298974139,0.6258487209831329,0.5999377981245877,0.6103605382701709,0.021664320789548688,46
gini,67,300,0.5915397583609439,0.6487418138294121,0.5881424182174584,0.6246807506216381,0.5952126808790106,0.6096634843816926,0.02346523203950707,56
gini,83,1,0.3287052145040606,0.34657859598109764,0.32341048331699185,0.33713818340114915,0.3121795391318298,0.32960240326702583,0.011727575336041745,194
gini,83,34,0.5665225935803361,0.6039966693544985,0.5363022237265187,0.5574883458004216,0.5535702888115471,0.5635760242546645,0.02246573206929485,162
gini,83,67,0.5865425720837865,0.6259396988525193,0.5636688909335434,0.5936017342504938,0.5955743339515286,0.5930654460143744,0.019969997287703118,137
gini,83,100,0.5724687627381089,0.6336707653132153,0.5675640773795512,0.6193851589991088,0.587079627035652,0.5960336782931273,0.026106858967460816,131
gini,83,133,0.5885757909499555,0.6365817371727441,0.599393267288479,0.6183369574669061,0.5839449164359504,0.605366533862807,0.019591403525355433,91
gini,83,167,0.5960775185937043,0.6362069542871347,0.5918097929551498,0.6191699081384537,0.5987740258556864,0.6084076399660259,0.016786632969232523,67
gini,83,200,0.593108036543356,0.6436825324481645,0.5965887086583639,0.6210100632707416,0.5893972363890232,0.6087573154619298,0.020676983311509578,64
gini,83,233,0.5914395202212653,0.650083636015373,0.5865620193898539,0.6245258576682304,0.5978080179028574,0.6100838102395161,0.023917098772990038,49
gini,83,266,0.598020327187746,0.6468805602330006,0.5995968088350953,0.6236647742094649,0.6026703960235705,0.6141665732977755,0.0187912860316715,14
gini,83,300,0.590990184726462,0.6432376501429796,0.5905361789586493,0.6181746799726455,0.6068745252172103,0.6099626438035894,0.01960378433434143,51
gini,100,1,0.32164505852146485,0.33517958465830955,0.326303394218323,0.3264975686072315,0.3338047950867074,0.32868608021840723,0.005067733299968539,195
gini,100,34,0.5656614521217405,0.6124165275337857,0.5464953782742902,0.6057384824213093,0.5742644366150469,0.5809152553932344,0.024779679546391944,151
gini,100,67,0.5854258622122328,0.6162084033441122,0.5597538238099754,0.6021638832216687,0.5810061607230813,0.5889116266622141,0.01921229155423467,142
gini,100,100,0.5754930660383274,0.6292755012681306,0.5826647180066007,0.6027491008703693,0.5965632093863422,0.5973491191139539,0.0186675655962439,126
gini,100,133,0.5854076282497269,0.635745396877868,0.5983272084977445,0.6105797835557253,0.5862161728214331,0.6032552380004995,0.018667682139138726,106
gini,100,167,0.5871627805512658,0.640611131804422,0.5775362605785994,0.6241927782840405,0.5936737822138651,0.6046353466864386,0.023818300428303643,94
gini,100,200,0.5852445028599329,0.6342401933433499,0.5786743242383845,0.6176433956882037,0.5979870696082044,0.6027578971476151,0.020601996502857142,109
gini,100,233,0.594190362219609,0.6369015348581636,0.591860125742048,0.6173270628917813,0.6001938517546149,0.6080945874932433,0.016937447697292118,69
gini,100,266,0.5820565638371157,0.6451677192939027,0.5803375276422208,0.6123955385169495,0.5944869019417813,0.6028888502463939,0.024045868390885725,108
gini,100,300,0.5970929088110339,0.642841156286534,0.602378131426319,0.6306284565461122,0.6009146531599991,0.6147710612459998,0.018425466340713653,8
gini,116,1,0.32542875995773646,0.32269373644174026,0.3344656980675189,0.3231894442433485,0.3207745931930506,0.32531044638067896,0.004811494916607965,197
gini,116,34,0.5719891678311463,0.5848843828349138,0.543671864196733,0.5767090876922363,0.5506369249572705,0.5655782855024599,0.015753444786431505,161
gini,116,67,0.585055180043723,0.6211786401132878,0.5765814686904077,0.6066699293216582,0.5734379112597721,0.5925846258857698,0.018414145097732523,138
gini,116,100,0.5827453565215343,0.6217146054756275,0.5838681873294973,0.61838605475537,0.5886167159971729,0.5990661840158404,0.01727858961410003,119
gini,116,133,0.5877881367146107,0.6320921368879282,0.5797571002192822,0.621262976465979,0.5909307014596108,0.6023662103494821,0.02047037583233023,111
gini,116,167,0.58320352096609,0.6438783393580128,0.5783124733489053,0.6103190403480737,0.5936925852955591,0.6018811918633282,0.02369114114947256,112
gini,116,200,0.5940872651276952,0.6389506713463153,0.5847189851042269,0.621504407396451,0.5926712633570131,0.6063865184663404,0.02048334189478828,85
gini,116,233,0.5925149622118464,0.6359602929868693,0.5938756289853244,0.6205335286993766,0.6026831390713185,0.6091135103909471,0.01673452156837252,59
gini,116,266,0.5996175875281453,0.6442736469763262,0.5920503615073531,0.6197657966246666,0.5929382664525933,0.6097291318178168,0.019953814549136827,54
gini,116,300,0.5943196690183923,0.6369643884851566,0.5919528457371508,0.6274484866929011,0.5932880313696326,0.6087946842606466,0.019365569737425,63
gini,133,1,0.3569692351820614,0.337222491122219,0.3350305754157741,0.35318467188605035,0.31852008100915574,0.3401854109230521,0.013823279534702863,184
gini,133,34,0.5511640293577059,0.6115884107505292,0.5450729739206486,0.5863257006103714,0.5660299606514462,0.5720362150581402,0.024361055732403394,159
gini,133,67,0.5794843677938337,0.6316060948129814,0.5494988856101606,0.6099047132229111,0.5955097692135092,0.5932007661306792,0.027775228385224712,136
gini,133,100,0.579728425268007,0.6152453914026369,0.5847294667984668,0.629006650443052,0.5985395602997604,0.6014498988423846,0.01849083830534031,114
gini,133,133,0.5876733314724316,0.6402947242549267,0.5817912786075852,0.6130416345261901,0.5997814665630281,0.6045164870848323,0.020858129372291333,97
gini,133,167,0.5853719111370328,0.6376593617697366,0.5876157372380485,0.6283971914243902,0.5890459142666397,0.6056180231671695,0.02260159299853363,88
gini,133,200,0.5857671926817655,0.6422761065056093,0.5815514147089454,0.6126710874332855,0.6028014854404291,0.6050134573540069,0.02178496402974122,93
gini,133,233,0.5946443984954473,0.6380185950123323,0.5858599646043163,0.6193660998122534,0.5938788759928992,0.6063535867834496,0.019414995705138976,86
gini,133,266,0.5940770213921933,0.6394026201267131,0.5807749429266672,0.6183548236571668,0.600766934792822,0.6066752685791125,0.02035653534055928,82
gini,133,300,0.5851948138543994,0.6535966352795637,0.5875242696432125,0.6262080189339498,0.6009541757178434,0.6106955826857938,0.025935419645077125,41
gini,150,1,0.35115247449017345,0.3450623338409519,0.3295663352084488,0.32693718438651564,0.3299227550072594,0.33652821658666987,0.00970348277891918,186
gini,150,34,0.5735215840955115,0.6079827547607581,0.5522676736939857,0.5675587628685236,0.5659121769474704,0.5734485904732498,0.018615760337738374,157
gini,150,67,0.5590700054080234,0.6223654103547529,0.5712334397832678,0.6039865119664138,0.5767594202833068,0.5866829575591529,0.02311834661349433,146
gini,150,100,0.5836003668161923,0.637549210583382,0.5807573352002777,0.6135543027057424,0.5843728996500575,0.5999668229911304,0.02225799279454266,116
gini,150,133,0.5872973155623475,0.6299333813189302,0.5784721468108645,0.6065581833573802,0.5903643843355655,0.5985250822770176,0.018142722611415883,124
gini,150,167,0.592472774122281,0.6410159383936281,0.5737007083993593,0.6116774672199041,0.6007436549874239,0.6039221086245193,0.02231869464605511,102
gini,150,200,0.5872579026985143,0.6436022018676755,0.5930956531851437,0.6149416247777584,0.5969385312153155,0.6071671827488815,0.02043019948815708,78
gini,150,233,0.5952929165126255,0.6526701040553631,0.5869271969891763,0.6191908105769331,0.5998053408713149,0.6107772738010826,0.023472416256441496,40
gini,150,266,0.5877322282805666,0.643611362790248,0.5899069496169639,0.6234328653526828,0.6073707167512268,0.6104108245583376,0.021051456755097085,45
gini,150,300,0.5977602729169886,0.6406357128607966,0.589610704111283,0.6273280910149331,0.5992863671389133,0.610924229608583,0.019569644216747974,35
entropy,1,1,0.29617810928146004,0.29646101624290455,0.28895918832649337,0.2971975228606524,0.2812217694502395,0.29200352123234996,0.0061609777535132,200
entropy,1,34,0.49577771024767736,0.4758086915466688,0.4488711152366841,0.5417371966518497,0.4226665292992481,0.4769722485964256,0.040714328175796635,180
entropy,1,67,0.47908663818764996,0.5166864479118093,0.46323961093252475,0.5434210831062243,0.4631835738508263,0.4931234707978069,0.03184819892481226,175
entropy,1,100,0.5043774938369999,0.5013376518404532,0.4802455985795449,0.5377270588680754,0.4766291649017082,0.5000633936053563,0.021820609297178162,164
entropy,1,133,0.4907416773035967,0.4895996970997689,0.46149073846376404,0.5576969270993071,0.4639785801538521,0.49270152402405776,0.034747619746427795,176
entropy,1,167,0.494433290650116,0.5087440421756695,0.4617980249307619,0.5549688075849526,0.4698424406612325,0.4979573212005466,0.03309689693896032,170
entropy,1,200,0.4880777065698545,0.49818795601252003,0.4543686032008436,0.5457759125200757,0.4575577520704564,0.48879358607475004,0.03315572037802047,179
entropy,1,233,0.49811628189142154,0.5039057012014787,0.46991526428746516,0.5456466160657584,0.4858903294989677,0.5006948385890182,0.025314725261236373,163
entropy,1,266,0.4897936882553049,0.4996409000931024,0.46241940166154527,0.5621002737330528,0.46748286330775446,0.49628742541015197,0.03566929001145284,171
entropy,1,300,0.49540355220728566,0.5013462406392757,0.46183014798384764,0.5529559823922503,0.4541286596133236,0.49313291656719666,0.0350787943485468,174
entropy,17,1,0.34325307414559086,0.3552769620387854,0.35322122670169215,0.33888696161589127,0.3255132965650298,0.3432303042133979,0.010748934834024575,181
entropy,17,34,0.5669307339368612,0.6269519806071921,0.5833584666976285,0.5715177580371157,0.5700037836558611,0.5837525445869318,0.02230712134031431,148
entropy,17,67,0.5933240459460402,0.6345907389017468,0.5769675434462812,0.5990004613973425,0.5897611458074781,0.5987287870997777,0.019335640339041338,123
entropy,17,100,0.5910686320559417,0.6408904442079802,0.5847879413145196,0.6185181103714634,0.5994065274786008,0.6069343310857012,0.02042573070252982,80
entropy,17,133,0.5973283785920342,0.6397506193828602,0.5947660922924604,0.6311636590801827,0.6019442135771401,0.6129905925849355,0.01868592640101123,22
entropy,17,167,0.5948285599862908,0.6527349145606604,0.5987578131962144,0.6256701248572994,0.6009537509463202,0.614589032709357,0.02193136387767319,9
entropy,17,200,0.6026096535147782,0.6522518077965384,0.5931067283427282,0.6280662468979279,0.6044398738919928,0.616094862088793,0.0214326044634824,5
